KGAS_ID,RMS,minchan,maxchan,minchan_v,maxchan_v,Detected_10kms,Detected_30kms
398,0.001240257,124,201,11792,12617,FALSE,FALSE
399,0.001229117,144,223,12007,12853,FALSE,FALSE
400,0.001233435,45,82,10946,11342,TRUE,TRUE
401,0.001203359,69,102,11202,11556,TRUE,TRUE
402,0.001222774,123,154,11781,12113,TRUE,TRUE
403,0.001200496,98,154,11514,12113,TRUE,TRUE
404,9.47E-04,155,230,12745,13552,FALSE,FALSE
405,9.39E-04,147,229,12659,13541,FALSE,FALSE
406,9.56E-04,102,142,12175,12605,TRUE,TRUE
407,0.001559454,86,120,5936,6288,TRUE,TRUE
408,0.001569704,87,122,5946,6308,TRUE,TRUE
409,0.001665898,81,162,5884,6721,FALSE,FALSE
410,0.001559978,94,177,4903,5755,FALSE,FALSE
411,0.001545193,192,223,5908,6226,TRUE,TRUE
412,0.001676569,82,151,4779,5487,FALSE,FALSE
413,0.001540989,184,211,5826,6103,TRUE,TRUE
414,0.00167733,122,167,5189,5651,TRUE,TRUE
415,0.001459182,188,242,5867,6421,FALSE,FALSE
416,0.001491469,0,205,3937,6041,FALSE,FALSE
417,0.001708631,66,131,4614,5282,TRUE,TRUE
418,0.001542803,150,224,5476,6236,FALSE,FALSE
419,0.001522682,167,240,5651,6400,FALSE,FALSE
420,0.001614429,81,158,4768,5559,FALSE,FALSE
421,0.001658622,130,178,5272,5764,TRUE,TRUE
422,0.001707049,56,85,6631,6933,TRUE,TRUE
423,0.001680109,77,157,6849,7682,FALSE,FALSE
424,0.001702097,102,141,7110,7516,TRUE,TRUE
425,0.001701084,70,116,6777,7255,TRUE,TRUE
426,0.001641154,83,133,6912,7432,TRUE,TRUE
427,0.001698424,60,128,6673,7381,FALSE,FALSE
428,0.001004398,127,160,10921,11272,TRUE,TRUE
429,9.73E-04,181,212,11496,11826,TRUE,TRUE
430,9.76E-04,82,162,10442,11294,FALSE,FALSE
431,0.00166293,114,128,8218,8365,TRUE,TRUE
432,0.001818147,96,169,8031,8796,FALSE,FALSE
433,0.001812022,154,238,8638,9518,FALSE,FALSE
434,0.001740632,64,111,7694,8186,TRUE,TRUE
435,0.001637831,68,105,7736,8123,TRUE,TRUE
436,0.001777384,83,133,7895,8419,TRUE,TRUE
437,0.001767216,74,147,7801,8566,FALSE,FALSE
438,0.001667773,65,148,7707,8576,FALSE,FALSE
439,0.001659325,43,122,7476,8304,FALSE,FALSE
440,0.001658013,110,151,8177,8607,TRUE,TRUE
441,0.001673421,85,124,7915,8323,TRUE,TRUE
442,0.001730495,95,128,8020,8366,TRUE,TRUE
443,0.001716878,81,159,7874,8691,FALSE,FALSE
444,0.001707303,109,134,8167,8429,TRUE,TRUE
445,8.87E-04,31,123,12507,13503,TRUE,TRUE
446,8.93E-04,101,134,13264,13622,TRUE,TRUE
447,8.24E-04,63,112,12853,13384,TRUE,TRUE
448,9.04E-04,42,123,12625,13502,FALSE,FALSE
449,8.89E-04,92,132,13167,13600,TRUE,TRUE
450,8.47E-04,91,124,13156,13513,TRUE,TRUE
451,8.27E-04,103,135,13285,13632,TRUE,TRUE
452,8.11E-04,88,142,13123,13707,TRUE,TRUE
